last_message_length,response_time_gap,initiator,conversation_length,reply_ratio,avg_response_time,message_tone,emoji_count,question_asked,time_of_day,seen_ignored,past_ghosting_history,user_type,reply,ghosted
41,8.015836907928989,them,63,0.22,88.64007448551747,enthusiastic,8,0,night,0,0,interested,1,0
42,50.495398098496985,them,57,0.45,34.104694279448864,dry,2,1,night,1,0,casual,0,1
23,43.46827425841616,me,187,0.46,15.854313379531913,neutral,1,1,night,0,0,interested,1,0
7,27.369088202819963,them,163,0.83,20.35583756157409,neutral,3,1,day,0,0,casual,1,1
15,49.292226071270974,me,59,0.82,96.80045029177451,neutral,4,0,day,1,0,ghoster,0,1
16,53.63920671059567,them,192,0.58,107.84092314869476,neutral,5,0,day,1,0,interested,0,1
39,4.573994842940913,them,153,1.0,63.964607066797306,enthusiastic,0,0,night,1,0,dry_texter,1,1
17,69.97594311864823,me,130,0.91,104.59170981057527,neutral,10,0,day,1,0,interested,0,1
20,17.240566344340234,me,146,0.95,11.192760796077575,neutral,1,0,day,1,0,dry_texter,0,1
49,52.555036974478284,me,183,0.31,119.42277344264646,enthusiastic,5,1,night,0,0,casual,1,1
1,5.111502192650343,me,59,0.07,4.738142008309158,neutral,1,0,night,1,0,casual,0,0
31,58.13978383919832,me,25,0.1,52.29509070635893,neutral,6,1,day,0,0,ghoster,0,1
35,32.300175443985495,them,47,0.28,30.72696729796996,dry,7,0,day,0,0,casual,1,1
4,11.853872740909935,me,100,0.27,94.30440163187976,neutral,4,1,night,0,0,dry_texter,1,1
21,4.115899649338782,them,129,0.92,64.20401009719441,dry,8,0,day,0,0,casual,1,0
3,44.595468743911425,them,169,0.58,63.21114314830311,neutral,3,1,day,1,1,casual,0,1
5,0.6707128956657407,me,19,0.54,61.20027859180308,dry,5,0,day,1,1,casual,1,1
42,38.083729867363445,them,170,0.1,105.49710883185746,neutral,1,0,day,1,1,casual,0,1
32,18.080730149032377,me,24,0.63,99.6924226352941,dry,0,1,day,1,0,ghoster,1,1
45,65.0828571523123,me,95,0.58,18.623160482530434,dry,0,1,night,0,1,casual,0,1
27,70.11626562988481,me,61,0.86,117.16851791878459,dry,6,0,day,1,1,casual,0,1
31,16.01522766328784,them,90,0.31,95.64611439919055,dry,3,0,day,1,1,dry_texter,0,0
26,48.92530452193898,them,8,0.12,116.47767271164513,dry,9,1,day,0,1,dry_texter,0,1
25,64.76434076960638,me,66,0.04,52.8908443391417,enthusiastic,8,0,night,1,0,dry_texter,0,1
33,22.268495679023033,them,84,0.4,36.1829691005877,dry,3,1,night,0,1,ghoster,0,1
38,43.67963307454291,them,120,0.44,81.39964074962188,enthusiastic,7,0,day,1,1,interested,0,0
13,10.609485281695633,me,63,0.98,73.74160279422094,dry,7,1,day,1,1,ghoster,0,1
50,63.75349479671035,them,57,0.18,114.99795903126522,enthusiastic,7,0,day,0,1,casual,0,1
49,64.18266665835147,them,141,0.45,19.939790997616917,neutral,7,1,day,1,1,casual,0,1
21,64.29793196090282,me,36,0.15,46.58119979932924,dry,3,0,night,1,1,ghoster,0,1
38,68.11646641848724,me,196,0.58,57.76058817432548,neutral,4,1,night,0,1,casual,1,1
26,52.14105918916479,them,33,0.98,64.56071191436803,neutral,9,0,day,1,0,ghoster,0,1
22,54.80853896836995,them,72,0.75,99.99898993347745,neutral,1,1,day,0,1,casual,0,1
16,14.353969130102369,me,160,0.15,16.020296010030542,enthusiastic,1,0,night,1,1,casual,1,0
11,69.45989565845431,me,149,0.03,38.122912082968725,enthusiastic,6,1,day,0,0,interested,1,1
37,56.349744937993414,them,137,0.43,45.09793426994869,enthusiastic,10,1,day,1,1,interested,1,1
10,31.355074440552748,them,158,0.81,65.04257586734244,neutral,7,1,night,1,0,interested,1,1
43,27.28722989723501,me,127,0.85,22.638943001765323,dry,5,1,night,1,1,interested,0,1
36,54.58785505073758,them,166,0.71,54.332771400801924,dry,1,1,day,1,0,dry_texter,0,1
48,39.62797003848085,them,180,0.45,37.48813597051082,dry,1,0,night,0,0,casual,1,1
34,42.968933316885725,me,50,0.3,43.944847228776986,neutral,0,0,night,0,0,dry_texter,0,1
1,41.33262381309592,them,123,0.44,22.939276776419725,dry,4,1,day,0,1,ghoster,1,1
37,68.33704624977824,me,64,0.12,91.96876999381712,enthusiastic,9,0,night,1,1,dry_texter,0,0
40,69.12783197526954,me,196,0.21,26.111998241341766,enthusiastic,1,0,day,0,0,casual,1,1
15,20.743552050745627,them,180,0.86,9.470391458264032,dry,4,0,night,0,0,casual,0,0
20,42.84317068699714,them,113,0.12,82.95268095423916,enthusiastic,6,1,night,1,0,interested,0,1
15,69.25759935788425,me,196,0.67,33.07181209007941,dry,2,1,night,1,0,ghoster,0,1
22,23.11619442887315,me,42,0.33,83.54716720402847,neutral,10,1,day,1,0,dry_texter,1,1
1,47.351547826785286,them,106,0.05,62.69428770282673,enthusiastic,7,1,day,0,1,casual,0,1
41,43.83876002990148,me,182,0.16,66.54984183331773,enthusiastic,6,0,day,0,1,interested,1,1
46,19.68659256335574,them,121,0.24,66.6005441487759,neutral,3,0,day,1,1,dry_texter,0,1
20,60.298266427662334,them,39,0.45,58.63662488065472,neutral,8,1,night,1,0,casual,0,1
48,34.05429001730983,them,99,0.99,95.2948456232917,enthusiastic,2,1,day,0,1,interested,1,1
47,10.37918994962022,me,20,0.47,116.33523203833185,neutral,9,1,day,1,1,dry_texter,0,0
40,4.926293797071704,them,59,0.75,52.64260515885196,dry,10,0,night,0,1,interested,1,0
10,17.582215117245724,them,145,0.68,22.42676945200602,dry,1,1,day,1,0,casual,1,0
30,64.88707849911958,me,19,0.44,42.12230930872672,enthusiastic,4,1,night,1,1,casual,0,1
23,41.38645897286244,them,6,0.98,79.329348095513,neutral,0,0,night,1,0,dry_texter,0,1
50,47.46107090280626,me,161,0.1,75.66751483019092,dry,4,1,day,1,0,interested,0,1
35,63.10516296287812,them,136,0.5,33.43075473477126,dry,4,1,night,1,0,ghoster,0,1
47,48.55724858161688,them,143,0.37,95.09115426208356,dry,4,0,night,1,1,ghoster,0,0
2,44.607374427206125,them,157,0.22,8.522827898063259,neutral,4,1,day,0,0,interested,1,1
